web-scraper-order,web-scraper-start-url,games-href,title,platform,descriptors,rating
1669304193-3338,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1018/spiderman-venom-separation-anxiety/,Spiderman/Venom/ Separation Anxiety,"Windows PC, Sega 32X, Sega Genesis, Super Nintendo",No Descriptors,Everyone
1669304196-3339,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/322/the-11th-hourthe-sequel-to-the-7th-guest/,THE 11th Hour:The Sequel To The 7th Guest,"3DO, Atari Jaguar, Windows PC","Realistic Blood and Gore, Suggestive Themes",Mature 17+
1669304199-3340,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1831/assassin-2015/,Assassin 2015,Windows PC,"Animated Blood, Animated Violence",Mature 17+
1669304201-3341,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1739/indiana-jones-and-the-fate-of-atlantis/,Indiana Jones and the Fate of Atlantis,Windows PC,Animated Violence,Everyone
1669304204-3342,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1765/p-t-o-ii/,P.T.O. II,Windows PC,No Descriptors,Everyone
1669304206-3343,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1783/blood-omen-legacy-of-kain/,Blood Omen-Legacy of Kain,"Windows PC, PlayStation/PS one","Animated Blood and Gore, Animated Violence",Mature 17+
1669304209-3344,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1773/manic-karts/,Manic Karts,Windows PC,No Descriptors,Everyone
1669304211-3345,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1793/3do-games-decathlon/,3DO Games: Decathlon,Windows PC,No Descriptors,Everyone
1669304214-3346,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1587/urban-runner/,Urban Runner,Windows PC,Realistic Blood,Mature 17+
1669304217-3347,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1819/star-trader/,Star Trader,Windows PC,Animated Violence,Everyone
