title,platform,genre,rating
Crystal Fantasy,"Macintosh, Windows PC",Strong Sexual Content,Adults Only 18+
Streets of Rage 2,"Macintosh, Windows PC, PlayStation 3, Wii, Xbox 360, Xbox One",Animated Violence,Everyone
Space Hulk:  Vengeance of the Blood Angels,"3DO, Windows PC, PlayStation/PS one, Sega Saturn",Animated Blood and Gore,Teen
Leisure Suit Larry 1,Windows PC,"Mature Sexual Themes, Suggestive Themes",Mature 17+
Duke Nukem II,Windows PC,Animated Violence,Everyone
AD&D Ravenloft: Stone Prophet,Windows PC,Animated Violence,Everyone
Duke Nukem 3D,Windows PC,"Animated Blood and Gore, Animated Violence, Strong Sexual Content",Mature 17+
Harvester,Windows PC,"Realistic Blood and Gore, Realistic Violence",Mature 17+
Toonstruck,Windows PC,"Comic Mischief, Mild Animated Violence",Teen
Diablo,Windows PC,"Animated Blood and Gore, Animated Violence",Mature 17+
Daggerfall,Windows PC,"Animated Violence, Mature Sexual Themes",Mature 17+
Fable,Windows PC,Suggestive Themes,Teen
Level Master IV for Diablo,Windows PC,"Animated Blood and Gore, Animated Violence",Mature 17+
The Curse of Monkey Island,Windows PC,"Comic Mischief, Use of Alcohol and Tobacco",Everyone
Castlevania: Symphony of The Night,"Windows PC, PlayStation/PS one, Xbox 360","Animated Blood and Gore, Animated Violence",Teen
Disney's Hercules Action Game,Windows PC,Animated Violence,Everyone
Virus:The Game,Windows PC,Animated Violence,Everyone
Dungeon Keeper,Windows PC,"Animated Blood and Gore, Animated Violence",Mature 17+
Grand Theft Auto,"Windows PC, PlayStation/PS one","Animated Blood, Strong Language",Mature 17+
NFL Blitz,"Game Boy, Nintendo 64, Windows PC, PlayStation/PS one","Animated Violence, Mild Language",Everyone
Unreal Tournament,"Dreamcast, Windows PC, PlayStation 2","Animated Blood and Gore, Animated Violence",Mature 17+
Outcast,Windows PC,"Animated Blood, Animated Violence, Strong Language",Teen
Half-Life: Opposing Force,Windows PC,"Animated Blood, Animated Violence",Mature 17+
Resident Evil Code: Veronica X,"Dreamcast, GameCube, PlayStation 2, PlayStation 3, PlayStation 4, PlayStation/PS one, Xbox 360","Animated Blood and Gore, Animated Violence",Mature 17+
Diablo II,Windows PC,"Animated Blood and Gore, Animated Violence",Mature 17+
